xlong,ylat
-100.65959,32.39479
-100.55879,32.40459
-100.63669,32.397
-100.6172,32.3862
-100.56889,32.39679
-100.634,32.3956
-100.60709,32.3808
-100.56439,32.4083
-100.64359,32.39949
-100.5836,32.39409
-100.62439,32.3901
-100.60189,32.39389
-100.57309,32.40239
-100.61029,32.3808
-100.5613,32.40749
-100.61179,32.3836
-100.59439,32.3871
-100.60659,32.39689
-100.66159,32.39629
-100.59589,32.38919
-97.52251,27.58076
-97.54642,27.64215
-97.5176,27.61746
-97.56996,27.57372
-97.54508,27.58073
-97.47771,27.56277
-97.46904,27.56273
-97.58117,27.57309
-97.55035,27.64076
-97.48389,27.57344
-97.5837,27.59454
-97.52651,27.58059
-97.51088,27.62774
-97.54898,27.62389
-97.55756,27.58057
-97.56612,27.5732
-97.57825,27.59434
-97.53814,27.64521
-97.57779,27.58406
-97.5536,27.58131
-97.50996,27.63142
-97.47385,27.56272
-97.55645,27.62044
-97.57208,27.59396
-97.56265,27.59541
-97.56273,27.62027
-97.57667,27.61865
-97.55025,27.61997
-97.51414,27.62473
-97.47951,27.57553
-97.47578,27.57762
-97.50107,27.59601
-97.58094,27.61773
-97.52248,27.6135
-97.54274,27.59765
-97.56297,27.6088
-97.48154,27.56284
-97.56477,27.57645
-97.55461,27.60884
-97.54942,27.58088
-97.52541,27.60238
-97.46132,27.56439
-97.57017,27.60523
-97.54079,27.6313
-97.51741,27.60412
-97.53388,27.60946
-97.51733,27.58109
-97.57376,27.57365
-97.55006,27.60969
-97.53323,27.59782
-97.57141,27.61895
-97.5548,27.5957
-97.58119,27.58219
-97.4886,27.59003
-97.56658,27.62011
-97.56631,27.6065
-97.51555,27.62059
-97.55006,27.59545
-97.46489,27.56275
-97.53371,27.64721
-97.54463,27.60853
-97.54121,27.64306
-97.51614,27.59108
-97.51302,27.60625
-97.52668,27.61362
-97.54475,27.62755
-97.52958,27.59903
-97.53848,27.59766
-97.50472,27.59291
-97.53073,27.61213
-97.5325,27.58092
-97.53811,27.60855
-97.56205,27.57999
-97.4931,27.58845
-97.45731,27.56677
-97.53281,27.63283
-97.51327,27.58121
-97.54627,27.59581
-97.50887,27.59223
-97.54134,27.58156
-97.56638,27.59426
-101.71809,33.03309
-101.69239,33.01659
-101.67279,33.0103
-101.73009,33.0332
-101.67709,33.01159
-101.71269,33.03309
-101.68659,33.0151
-101.72409,33.03309
-101.68759,33.03309
-101.67259,33.03299
-101.68109,33.03309
-101.68169,33.0131
-101.67679,33.03309
-101.70669,33.03309
-101.73549,33.0332
-101.6919,33.03309
-101.69779,33.03299
-101.20505,34.02081
-101.24371,33.96191
-101.24851,34.01983
-101.24408,33.95087
-101.24538,34.0057
-101.26764,33.98189
-101.22628,33.95108
-101.23472,34.00904
-101.26656,34.01133
-101.25943,34.00954
-101.23498,33.95095
-101.2144,34.02072
-101.24087,33.97565
-101.24415,33.98183
-101.22697,34.00194
-101.25169,34.00596
-101.22923,33.97335
-101.20486,34.00928
-101.25859,33.98249
-101.21465,34.00378
-101.222,33.96693
-100.85432,32.80449
-100.86977,32.8979
-100.85159,32.79544
-100.82823,32.85831
-100.92007,32.86993
-100.87732,32.88047
-100.86941,32.79385
-100.88273,32.88189
-100.86557,32.83361
-100.82609,32.84961
-100.89913,32.86845
-100.87734,32.83815
-100.83479,32.86658
-100.90954,32.83329
-100.83253,32.86027
-100.83844,32.86753
-100.84756,32.85519
-100.87041,32.82138
-100.84245,32.86813
-100.85176,32.86994
-100.86404,32.89259
-100.87816,32.80779
-100.87414,32.86481
-100.89566,32.85167
-100.86927,32.87552
-100.85626,32.89079
-100.86504,32.79396
-100.87768,32.7939
-100.89027,32.86936
-100.84365,32.85294
-100.88707,32.88316
-100.82116,32.84913
-100.86421,32.85585
-100.84082,32.88406
-100.8789,32.82013
-100.83608,32.88443
-100.85209,32.8906
-100.83035,32.88339
-100.90321,32.86953
-100.88782,32.82963
-100.826,32.88273
-100.8605,32.79387
-100.9176,32.83286
-100.85674,32.81396
-100.86069,32.87071
-100.84701,32.86971
-100.84811,32.88976
-100.90872,32.82095
-100.87563,32.83164
-100.83516,32.8506
-100.86778,32.81317
-100.83175,32.84987
-100.89211,32.84979
-100.91956,32.84795
-100.86048,32.85408
-100.86695,32.89492
-100.84492,32.88527
-100.90935,32.84724
-100.88296,32.84908
-97.40485,28.205
-97.39782,28.17775
-97.46209,28.21233
-97.44215,28.1746
-97.45838,28.20172
-97.40495,28.21582
-97.46502,28.23704
-97.44492,28.16562
-97.42459,28.16586
-97.46307,28.17669
-97.40113,28.20859
-97.41358,28.21254
-97.38891,28.19994
-97.47241,28.17077
-97.45596,28.16291
-97.45367,28.19177
-97.46856,28.17268
-97.39793,28.19664
-97.38836,28.1902
-97.46178,28.19599
-97.4504,28.21342
-97.39459,28.21678
-97.40698,28.16735
-97.41648,28.20071
-97.43356,28.21338
-97.44061,28.18679
-97.4376,28.1467
-97.42615,28.19814
-97.45052,28.17538
-97.47559,28.20667
-97.37548,28.20323
-97.43993,28.1575
-97.4614,28.23931
-97.46652,28.1905
-97.42373,28.14875
-97.39298,28.19876
-97.43111,28.16622
-97.43182,28.18076
-97.45134,28.16614
-97.38093,28.21487
-97.46724,28.22532
-97.43108,28.14396
-97.44183,28.19449
-97.38661,28.21375
-97.47189,28.23611
-97.4354,28.15074
-97.42527,28.21403
-97.45494,28.21215
-97.40918,28.20297
-97.41014,28.16384
-97.40443,28.18408
-97.4521,28.18282
-97.47099,28.16352
-97.42433,28.18436
-97.42804,28.1573
-97.44559,28.21431
-97.47894,28.19844
-97.37558,28.21122
-97.43981,28.21401
-97.47413,28.19844
-97.42677,28.14516
-97.4608,28.16116
-97.44621,28.20306
-97.3831,28.19457
-97.42028,28.16908
-97.45482,28.23485
-97.41062,28.17919
-97.37058,28.20884
-97.43098,28.19761
-97.47847,28.19042
-97.44521,28.15607
-97.4178,28.15649
-97.47556,28.21611
-97.44666,28.18543
-97.45008,28.15484
-97.43734,28.17781
-97.38392,28.20369
-97.474,28.22549
-97.4144,28.15892
-97.45321,28.20152
-97.46835,28.2007
-97.40184,28.1936
-97.438,28.20339
-97.41451,28.22043
-97.43288,28.15668
-97.39222,28.18416
-97.42122,28.15312
-97.41236,28.18764
-97.46824,28.18119
-97.43487,28.19263
-97.45689,28.17609
-97.45458,28.24163
-97.41757,28.18647
-97.45358,28.22549
-97.39797,28.18458
-97.4219,28.20097
-97.4185,28.21024
-97.41666,28.17569
-97.37904,28.19917
-97.47292,28.19012
-101.53539,35.92299
-101.52959,35.9129
-101.52909,35.92119
-101.54139,35.92489
-101.54149,35.91089
-101.53539,35.94299
-101.54089,35.9394
-101.53529,35.9343
-101.54019,35.96429
