p_year,t_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02573,32.90257
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94894,32.90727
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97324,32.86629
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02978,32.88414
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96788,32.92222
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96858,32.87843
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96838,32.86588
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97714,32.90326
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99703,32.89035
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00077,32.89029
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98793,32.90592
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95131,32.86426
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02397,32.91259
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00922,32.92171
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01872,32.88121
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01402,32.90599
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99144,32.94153
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95647,32.90717
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96442,32.85054
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95535,32.8652
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94555,32.89691
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96391,32.90597
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94943,32.89632
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04857,32.90463
2017,2300.0,80.0,116.0,10568.32,138.1,-100.93641,32.88242
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95885,32.89404
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04512,32.88586
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00656,32.87523
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00449,32.88942
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00104,32.85955
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96024,32.90682
2017,2300.0,80.0,116.0,10568.32,138.1,-100.9812,32.88907
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95559,32.88186
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96447,32.86501
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02161,32.90313
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98434,32.90503
2017,2300.0,80.0,116.0,10568.32,138.1,-101.03336,32.89553
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96834,32.84995
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95171,32.88322
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02219,32.88287
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94438,32.88099
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04144,32.88408
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94537,32.90782
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01796,32.89324
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98741,32.94167
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97791,32.86523
2017,2300.0,80.0,116.0,10568.32,138.1,-101.03596,32.90759
2017,2300.0,80.0,116.0,10568.32,138.1,-100.92928,32.8774
2017,2300.0,80.0,116.0,10568.32,138.1,-100.93247,32.88055
2017,2300.0,80.0,116.0,10568.32,138.1,-101.0376,32.88419
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02938,32.89597
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99145,32.90683
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94788,32.88242
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94103,32.91062
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99825,32.87782
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04897,32.88602
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02586,32.88412
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95271,32.90727
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02806,32.91134
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95931,32.86741
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95675,32.85074
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02016,32.92854
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99439,32.87777
2017,2300.0,80.0,116.0,10568.32,138.1,-101.03369,32.88417
2005,660.0,50.0,47.0,1734.94,73.5,-101.82389,33.58089
2012,1800.0,80.0,100.0,7853.98,130.1,-100.16409,29.21359
2012,1800.0,80.0,100.0,7853.98,130.1,-100.14316,29.21355
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21279,29.1778
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22959,29.1629
1999,660.0,65.0,47.0,1734.94,88.4,-101.41539,32.2156
2012,1800.0,80.0,100.0,7853.98,130.1,-100.2068,29.1915
2012,1800.0,80.0,100.0,7853.98,130.1,-100.14089,29.2145
2012,1800.0,80.0,100.0,7853.98,130.1,-100.17969,29.18139
2012,1800.0,80.0,100.0,7853.98,130.1,-100.1769,29.2014
2012,1800.0,80.0,100.0,7853.98,130.1,-100.17001,29.2102
2012,1800.0,80.0,100.0,7853.98,130.1,-100.193,29.19594
2012,1800.0,80.0,100.0,7853.98,130.1,-100.18578,29.17819
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21169,29.1794
2012,1800.0,80.0,100.0,7853.98,130.1,-100.19949,29.196
2012,1800.0,80.0,100.0,7853.98,130.1,-100.19348,29.19065
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20488,29.19263
2012,1800.0,80.0,100.0,7853.98,130.1,-100.1974,29.18609
2012,1800.0,80.0,100.0,7853.98,130.1,-100.18414,29.1795
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20116,29.19494
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21107,29.18908
2012,1800.0,80.0,100.0,7853.98,130.1,-100.19869,29.1846
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22759,29.1638
2012,1800.0,80.0,100.0,7853.98,130.1,-100.19614,29.18767
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22199,29.1696
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22559,29.16489
2012,1800.0,80.0,100.0,7853.98,130.1,-100.2011,29.1838
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20619,29.1828
2012,1800.0,80.0,100.0,7853.98,130.1,-100.19611,29.19581
2012,1800.0,80.0,100.0,7853.98,130.1,-100.16589,29.2124
2012,1800.0,80.0,100.0,7853.98,130.1,-100.1711,29.18432
2012,1800.0,80.0,100.0,7853.98,130.1,-100.17883,29.20026
2012,1800.0,80.0,100.0,7853.98,130.1,-100.17395,29.18327
2012,1800.0,80.0,100.0,7853.98,130.1,-100.17688,29.20406
2012,1800.0,80.0,100.0,7853.98,130.1,-100.14569,29.2128
2012,1800.0,80.0,100.0,7853.98,130.1,-100.19409,29.1887
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20351,29.18324
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22299,29.16789
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20889,29.19051
2012,1800.0,80.0,100.0,7853.98,130.1,-100.18203,29.18049
2012,1800.0,80.0,100.0,7853.98,130.1,-100.16765,29.21103
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21909,29.1724
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21063,29.18114
2012,1800.0,80.0,100.0,7853.98,130.1,-100.17679,29.2061
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22059,29.1711
2012,1800.0,80.0,100.0,7853.98,130.1,-100.22399,29.1661
2012,1800.0,80.0,100.0,7853.98,130.1,-100.1825,29.1982
2012,1800.0,80.0,100.0,7853.98,130.1,-100.2161,29.1752
2012,1800.0,80.0,100.0,7853.98,130.1,-100.18089,29.1995
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20329,29.1939
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21447,29.17638
2012,1800.0,80.0,100.0,7853.98,130.1,-100.20879,29.1823
2012,1800.0,80.0,100.0,7853.98,130.1,-100.13879,29.21569
2012,1800.0,80.0,100.0,7853.98,130.1,-100.16232,29.21487
2012,1800.0,80.0,100.0,7853.98,130.1,-100.21749,29.1737
2012,1800.0,80.0,100.0,7853.98,130.1,-100.16059,29.21619
2012,1800.0,80.0,100.0,7853.98,130.1,-100.15817,29.21703
2012,100.0,37.0,21.0,346.36,47.5,-97.161,33.2012
2012,100.0,37.0,21.0,346.36,47.5,-97.16089,33.2021
2012,100.0,37.0,21.0,346.36,47.5,-97.16089,33.20009
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81791,31.18605
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82633,31.14626
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83432,31.16805
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82646,31.16979
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80737,31.17894
2022,2771.0,89.0,127.0,12667.69,152.4,-101.87139,31.14795
2022,2771.0,89.0,127.0,12667.69,152.4,-101.85746,31.16272
2022,2771.0,89.0,127.0,12667.69,152.4,-101.87174,31.17757
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83651,31.16392
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82196,31.1853
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81159,31.17893
2022,2771.0,89.0,127.0,12667.69,152.4,-101.86314,31.16694
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83199,31.14037
2022,2771.0,89.0,127.0,12667.69,152.4,-101.86862,31.16741
2022,2771.0,89.0,127.0,12667.69,152.4,-101.84943,31.16814
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81868,31.14247
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80152,31.1439
2022,2771.0,89.0,127.0,12667.69,152.4,-101.79229,31.13862
2022,2771.0,89.0,127.0,12667.69,152.4,-101.84021,31.17503
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82311,31.17851
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81708,31.15428
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80513,31.18298
2022,2771.0,89.0,127.0,12667.69,152.4,-101.79464,31.1812
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81272,31.15388
2022,2771.0,89.0,127.0,12667.69,152.4,-101.86536,31.15476
2022,2771.0,89.0,127.0,12667.69,152.4,-101.85524,31.1554
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83028,31.16863
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83627,31.17646
2022,2771.0,89.0,127.0,12667.69,152.4,-101.84554,31.15374
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82668,31.12967
2022,2771.0,89.0,127.0,12667.69,152.4,-101.8382,31.15816
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80058,31.18126
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82536,31.15155
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82191,31.12752
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80673,31.1711
2022,2771.0,89.0,127.0,12667.69,152.4,-101.79771,31.17481
2022,2771.0,89.0,127.0,12667.69,152.4,-101.86893,31.15187
2022,2771.0,89.0,127.0,12667.69,152.4,-101.8317,31.15658
2022,2771.0,89.0,127.0,12667.69,152.4,-101.86791,31.1754
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80478,31.14259
2022,2771.0,89.0,127.0,12667.69,152.4,-101.85992,31.15833
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83265,31.17766
2022,2771.0,89.0,127.0,12667.69,152.4,-101.84633,31.17012
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81404,31.14528
2022,2771.0,89.0,127.0,12667.69,152.4,-101.87334,31.15996
2022,2771.0,89.0,127.0,12667.69,152.4,-101.78684,31.18284
2022,2771.0,89.0,127.0,12667.69,152.4,-101.78848,31.14004
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82124,31.15315
2022,2771.0,89.0,127.0,12667.69,152.4,-101.84071,31.15494
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80855,31.15442
2022,2771.0,89.0,127.0,12667.69,152.4,-101.80267,31.17671
2022,2771.0,89.0,127.0,12667.69,152.4,-101.83636,31.14043
2022,2771.0,89.0,127.0,12667.69,152.4,-101.86376,31.17666
2022,2771.0,89.0,127.0,12667.69,152.4,-101.79098,31.18263
2022,2771.0,89.0,127.0,12667.69,152.4,-101.81368,31.16818
2022,2771.0,89.0,127.0,12667.69,152.4,-101.84187,31.16992
2022,2771.0,89.0,127.0,12667.69,152.4,-101.85871,31.17656
2022,2771.0,89.0,127.0,12667.69,152.4,-101.82849,31.14236
2022,2771.0,89.0,127.0,12667.69,152.4,-101.85374,31.1651
2022,2771.0,89.0,127.0,12667.69,152.4,-101.85887,31.16993
2020,2720.0,90.0,116.0,10568.32,148.1,-100.54644,31.81043
2020,2720.0,90.0,116.0,10568.32,148.1,-100.57288,31.81218
2020,2720.0,90.0,116.0,10568.32,148.1,-100.52296,31.77587
2020,2720.0,90.0,116.0,10568.32,148.1,-100.51065,31.7622
2020,2720.0,90.0,116.0,10568.32,148.1,-100.52634,31.77403
2020,2820.0,89.0,127.0,12667.69,152.4,-100.6078,31.78282
2020,2720.0,90.0,116.0,10568.32,148.1,-100.65748,31.81443
2020,2820.0,89.0,127.0,12667.69,152.4,-100.68314,31.79285
2020,2820.0,89.0,127.0,12667.69,152.4,-100.72501,31.79004
2020,2720.0,90.0,116.0,10568.32,148.1,-100.55505,31.7907
2020,2720.0,90.0,116.0,10568.32,148.1,-100.55238,31.81581
2020,2720.0,90.0,116.0,10568.32,148.1,-100.71034,31.85682
2020,2720.0,90.0,116.0,10568.32,148.1,-100.71752,31.86653
2020,2820.0,89.0,127.0,12667.69,152.4,-100.69538,31.78596
2020,2720.0,90.0,116.0,10568.32,148.1,-100.53787,31.793
2020,2820.0,89.0,127.0,12667.69,152.4,-100.69058,31.78779
2020,2820.0,89.0,127.0,12667.69,152.4,-100.71088,31.84133
2020,2720.0,90.0,116.0,10568.32,148.1,-100.62019,31.79331
2020,2820.0,89.0,127.0,12667.69,152.4,-100.70589,31.83129
2020,2820.0,89.0,127.0,12667.69,152.4,-100.67104,31.81247
2020,2720.0,90.0,116.0,10568.32,148.1,-100.70161,31.84601
2020,2820.0,89.0,127.0,12667.69,152.4,-100.72347,31.83765
2020,2720.0,90.0,116.0,10568.32,148.1,-100.62792,31.79669
2020,2720.0,90.0,116.0,10568.32,148.1,-100.61581,31.80696
2020,2720.0,90.0,116.0,10568.32,148.1,-100.52596,31.78995
2020,2720.0,90.0,116.0,10568.32,148.1,-100.60491,31.80399
2020,2720.0,90.0,116.0,10568.32,148.1,-100.70209,31.82034
2020,2820.0,89.0,127.0,12667.69,152.4,-100.68825,31.81084
