ylat,xlong,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
32.93955,-100.98441,13.159734,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.9037,-100.97148,13.204884,7.350386,26.009777,7.4329624,193.15659,88.495895
32.90577,-101.01791,13.133733,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.88164,-100.94024,13.324005,7.324728,26.059721,7.132912,193.01482,88.75586
32.91614,-101.01855,13.094732,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.90452,-100.96761,13.172384,7.350386,26.009777,7.4329624,193.15659,88.495895
32.90742,-101.0323,13.237734,7.364067,25.927923,7.3464375,192.32414,87.97694
32.84934,-100.95278,13.194006,7.324728,26.059721,7.132912,193.01482,88.75586
32.89199,-100.96608,13.285173,7.3448462,25.99455,7.215396,190.87709,89.72531
32.90556,-101.03948,13.231234,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.91711,-100.99365,13.127233,7.364068,25.927923,7.3464375,192.32414,87.97694
32.85076,-100.96054,13.1810055,7.324728,26.059721,7.132912,193.01482,88.75586
32.92489,-101.01589,13.081732,7.364067,25.927923,7.3464375,192.32414,87.97694
32.88876,-100.97738,13.181173,7.344846,25.99455,7.215396,190.87709,89.72531
32.939,-100.98051,13.146733,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.89021,-100.98901,13.142174,7.3448453,25.99455,7.215396,190.87709,89.72531
32.92078,-101.00407,13.114233,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.87886,-100.97239,13.220174,7.3448462,25.99455,7.215396,190.87709,89.72531
32.88908,-100.97308,13.233173,7.344846,25.99455,7.215396,190.87709,89.72531
32.87572,-100.99015,13.226675,7.344846,25.99455,7.215396,190.87709,89.72531
32.89323,-100.96243,13.213675,7.344846,25.99455,7.215396,190.87709,89.72531
32.90523,-101.04414,13.257233,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.92234,-100.97238,13.126882,7.3503857,26.009777,7.4329624,193.15659,88.495895
32.93598,-100.97623,13.159734,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.87671,-101.00261,13.200674,7.344846,25.99455,7.215396,190.87709,89.72531
32.89235,-101.01435,13.246174,7.344846,25.99455,7.215396,190.87709,89.72531
32.89902,-100.94185,13.168007,7.324728,26.059721,7.132912,193.01482,88.75586
32.88966,-100.98509,13.148674,7.344846,25.99455,7.215396,190.87709,89.72531
32.88151,-100.96065,13.246007,7.324728,26.059721,7.132912,193.01482,88.75586
32.84913,-100.97222,13.330674,7.3448462,25.99455,7.215396,190.87709,89.72531
32.85946,-100.99155,13.304674,7.344846,25.99455,7.215396,190.87709,89.72531
32.87582,-100.98627,13.181173,7.344846,25.99455,7.215396,190.87709,89.72531
32.88123,-101.01299,13.285173,7.3448462,25.99455,7.215396,190.87709,89.72531
32.92209,-101.01276,13.101233,7.3640676,25.927923,7.3464375,192.32414,87.97694
