p_year,t_cap,t_hh,t_rd,xlong,ylat,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
2020,2820.0,89.0,127.0,-100.56841,33.00704,13.511588,7.344676,24.36159,7.076603,190.43332,93.36775
2020,1790.0,80.0,100.0,-100.59386,32.88686,13.771315,7.4023557,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.52982,33.05947,13.4368925,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,1790.0,80.0,100.0,-100.60215,32.8946,13.849315,7.4023547,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.5562,32.99262,13.537587,7.3446755,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.5025,33.04059,13.378393,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.53255,32.9761,13.430831,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.49897,33.0593,13.527891,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.56061,32.91028,13.802013,7.3594413,24.57094,7.270794,189.63303,92.37065
2020,2820.0,89.0,127.0,-100.49427,33.03181,13.59333,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.56276,32.99558,13.518087,7.3446755,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.5438,33.05064,13.449892,7.3662395,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.54948,33.08141,13.534393,7.36624,24.818277,7.0278707,191.42067,93.51292
2017,2300.0,80.0,116.0,-101.03733,32.89556,13.168173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.04134,32.89563,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.98238,32.87596,13.174674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.98441,32.93955,13.159734,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.97148,32.9037,13.204884,7.350386,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-101.01791,32.90577,13.133733,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.94024,32.88164,13.324005,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.01855,32.91614,13.094732,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.96761,32.90452,13.172384,7.350386,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-101.0323,32.90742,13.237734,7.364067,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.95278,32.84934,13.194006,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.96608,32.89199,13.285173,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.03948,32.90556,13.231234,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99365,32.91711,13.127233,7.364068,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.96054,32.85076,13.1810055,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.01589,32.92489,13.081732,7.364067,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.97738,32.88876,13.181173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.98051,32.939,13.146733,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.98901,32.89021,13.142174,7.3448453,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.00407,32.92078,13.114233,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.97239,32.87886,13.220174,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.97308,32.88908,13.233173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.99015,32.87572,13.226675,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.96243,32.89323,13.213675,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.04414,32.90523,13.257233,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.97238,32.92234,13.126882,7.3503857,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.97623,32.93598,13.159734,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-101.00261,32.87671,13.200674,7.344846,25.99455,7.215396,190.87709,89.72531
